Index,Sequence,label,Start_time,End_time,output,conv1,conv2,conv3
8946,21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 249,1,2005-09-15-08.28.26.385982,2005-09-15 08:28:50.672124,"-3.180853843688965,2.4054739475250244","0.9882580637931824,0.0,0.0,1.1819003820419312,0.0,0.0,0.0,0.0,1.1150531768798828,0.0,1.354339838027954,0.0,1.5706814527511597,0.0,0.0,3.125108242034912","2.7152938842773438,2.9603400230407715,4.637812614440918,1.6177347898483276,0.0,3.791609525680542,3.56699275970459,0.0,2.809354066848755,0.0,0.22849337756633759,4.853641510009766,0.0,0.0,1.787293553352356,0.0","1.95084810256958,0.0,2.6757826805114746,0.0,0.0,0.0,0.4978371262550354,0.0,0.0,0.04575685039162636,0.0,0.0,0.0,0.0,0.0,0.0"
8535,94 94 314 314 94 314 314 94 191 191 94 314 314 314 314 314 314 314 191,0,2005-09-06-05.18.29.793220,2005-09-06 05:18:32.293179,"6.21962308883667,-5.7716264724731445","0.0,5.386377811431885,0.9152216911315918,0.0,7.10471773147583,3.448559522628784,3.499258279800415,1.7162036895751953,0.0,3.380349636077881,0.0,4.16096830368042,0.0,5.555300235748291,3.4752237796783447,0.0","0.0,0.0,0.0,0.0,3.049503803253174,0.0,0.0,3.6373727321624756,0.0,2.928828477859497,0.0,0.0,6.009169101715088,7.528615951538086,0.0,5.831084728240967","0.0,5.364706516265869,0.0,0.06253925710916519,8.13144588470459,3.52742338180542,0.0,0.0,8.657662391662598,0.0,4.594550132751465,0.0,1.1916922330856323,3.7476696968078613,6.338559627532959,4.3385467529296875"
8187,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.10.26.234651,2005-09-02 06:10:27.725276,"6.055595397949219,-5.587889194488525","0.0,5.012593746185303,0.6719414591789246,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.724534273147583,0.0,3.2233047485351562,0.0,4.168544769287109,0.0,5.305836200714111,3.527808427810669,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,7.336812496185303,0.0,5.6303019523620605","0.0,5.14663553237915,0.0,0.0,7.911181449890137,3.6780290603637695,0.0,0.0,8.676387786865234,0.0,4.3828558921813965,0.0,0.9902512431144714,3.7607133388519287,6.290918827056885,4.155723571777344"
156,310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 285 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310,1,2005-06-05-08.28.14.588517,2005-06-05 08:28:26.226469,"2.00711727142334,-2.3039212226867676","0.0,2.6791319847106934,0.7512915730476379,0.0,2.2508668899536133,0.985077440738678,0.6882320642471313,0.47407716512680054,0.0,0.7149081230163574,0.0,2.042865753173828,0.0,2.0223076343536377,1.7190512418746948,0.0","0.0,0.0,0.0,0.0,1.3679221868515015,0.0,0.0,0.8698400855064392,0.0,0.4633529782295227,0.0,0.0,2.1475751399993896,2.3697197437286377,0.0,2.1942903995513916","0.0,1.6254254579544067,0.0,0.09579012542963028,3.0352296829223633,1.3380155563354492,0.0,0.0,3.67730975151062,0.0,1.4436947107315063,0.0,0.13020074367523193,0.959630012512207,2.219034194946289,1.522003412246704"
8767,35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35,0,2005-09-09-20.52.26.274211,2005-09-09 20:53:02.181891,"5.387983798980713,-5.015040397644043","0.0,4.931200981140137,0.61806321144104,0.0,6.3067402839660645,2.942586660385132,3.1838974952697754,1.4664182662963867,0.0,2.584141731262207,0.0,3.359579086303711,0.0,4.365540981292725,3.537029266357422,0.0","0.0,0.0,0.0,0.0,2.903341054916382,0.0,0.0,3.308236598968506,0.0,2.6519529819488525,0.0,0.0,5.558861255645752,5.994383335113525,0.0,5.150039196014404","0.0,5.028628826141357,0.0,0.0,5.645403861999512,3.1794848442077637,0.0,0.0,8.066060066223145,0.0,4.195982933044434,0.0,0.9902099967002869,2.6367313861846924,5.278187274932861,4.005601406097412"
8610,228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228 228,0,2005-09-07-06.11.38.714179,2005-09-07 06:12:14.217851,"2.0796289443969727,-2.3005073070526123","0.0,2.3670334815979004,1.181649923324585,0.0,2.3338115215301514,1.265950083732605,0.6232975721359253,0.7061803936958313,0.0,0.7699998021125793,0.0,1.9764348268508911,0.0,2.029503107070923,1.7634724378585815,0.0","0.0,0.0,0.0,0.0,1.158227801322937,0.0,0.0,0.8925334215164185,0.0,0.7112448215484619,0.0,0.0,1.9679315090179443,2.6109602451324463,0.0,2.132777690887451","0.0,1.8098244667053223,0.0,0.0,3.3660831451416016,1.5771236419677734,0.0,0.0,3.95337176322937,0.0,1.0359653234481812,0.0,0.4710133671760559,0.8341440558433533,2.1137688159942627,1.4580656290054321"
6686,94 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 94 314 191 94 94 314 314 314 94 314 314 191 314 314 314 314 94 314 94 314 314 314 314 314 191 314 191 314 191 94 314 191,0,2005-08-10-02.34.08.907040,2005-08-10 02:34:10.422597,"5.8757734298706055,-5.509902477264404","0.0,5.249600410461426,0.9375,0.0,6.765439510345459,3.1658732891082764,3.289351224899292,1.7400166988372803,0.0,3.203110694885254,0.0,4.024523735046387,0.0,5.258881568908691,3.612490653991699,0.0","0.0,0.0,0.0,0.0,2.8261373043060303,0.0,0.0,3.5200700759887695,0.0,2.5060439109802246,0.0,0.0,5.927183628082275,6.963735103607178,0.0,5.715536117553711","0.0,5.2576823234558105,0.0,0.07101798802614212,6.843853950500488,3.4871461391448975,0.0,0.0,8.73471450805664,0.0,4.681283473968506,0.0,1.189122200012207,2.991273880004883,5.856967449188232,4.254963397979736"
1135,285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285 285,1,2005-06-11-22.26.38.247619,2005-06-11 22:27:14.129724,"-9.0930814743042,6.602679252624512","3.0910937786102295,0.0,0.0,4.637266159057617,0.0,0.0,0.0,0.0,2.1068825721740723,0.0,3.8041133880615234,0.0,5.312429428100586,0.0,0.0,7.475802898406982","6.523489475250244,7.617822170257568,6.652151107788086,2.8632311820983887,0.0,10.096696853637695,8.559659957885742,0.0,7.879291534423828,0.0,4.3040995597839355,9.599615097045898,0.0,0.0,6.3802266120910645,0.0","5.832458972930908,0.0,5.485510349273682,0.0,0.0,0.0,3.797877311706543,0.0,0.0,2.777449607849121,0.0,0.0,0.0,0.0,0.0,0.0"
8449,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-03-18.37.11.311552,2005-09-03 18:37:15.790898,"-5.692512512207031,3.966958522796631","2.197356939315796,0.0,0.0,2.7138099670410156,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.96219801902771,0.0,2.986708164215088,0.0,0.0,5.0122528076171875","3.533602714538574,5.250320911407471,6.149456977844238,2.0803048610687256,0.0,6.457988262176514,5.499523162841797,0.0,4.425166606903076,0.0,2.632080554962158,8.007068634033203,0.0,0.0,2.7422335147857666,0.0","2.5265274047851562,0.0,3.6828343868255615,0.0,0.0,0.0,2.5253491401672363,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
8360,118 118 118 118 118 118 118 118,0,2005-09-03-05.41.40.187493,2005-09-03 05:41:40.393946,"6.015870094299316,-5.537240028381348","0.0,4.994629859924316,0.5726571679115295,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.689831018447876,0.0,3.1787497997283936,0.0,4.0311598777771,0.0,5.258883953094482,3.472972869873047,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,7.261617183685303,0.0,5.605162143707275","0.0,5.130070686340332,0.0,0.0,7.771749496459961,3.6175143718719482,0.0,0.0,8.564695358276367,0.0,4.3828558921813965,0.0,0.9364176392555237,3.7104809284210205,6.2774248123168945,4.155723571777344"
