Index,Sequence,label,Start_time,End_time
8115,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-01-00.09.26.618005,2005-09-01 00:09:36.427217
8118,259 167 259 167 259 167,0,2005-09-01-04.05.42.700146,2005-09-01 04:05:56.691113
8120,94 314 191 94 94 314 314 314 191 314 191,0,2005-09-01-04.46.33.459026,2005-09-01 04:46:35.291493
8121,218 94 99 314 314 191 94 314 191 94 314 314 191 94 314 191 94 314 191 94 94 314 314 314 191 191 99,0,2005-09-01-04.47.49.410675,2005-09-01 04:48:03.979768
8123,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-01-04.48.57.169061,2005-09-01 04:49:26.029167
8124,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-01-04.49.26.806728,2005-09-01 04:50:01.432440
8125,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-01-04.50.11.840227,2005-09-01 04:50:17.991090
8126,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-01-04.50.39.650717,2005-09-01 04:50:56.263298
8128,276 276 276 276 276 276 276 276,1,2005-09-01-06.38.04.657371,2005-09-01 06:38:05.178751
8130,314 191 314 191 314 191 314 191 314 191 314 191 314 314 314 314 191 191 314 314 191 191 314 191 314 191 314 191 314 314 314 191 314 191 191 314 191 191 314 191 191 314 314 191 314 191 191 314 314 314 191 314 314 314 191 314 191 191 314 314 314 314 191 314 314 314 191 314 314 314 191 314 314 314 314 314 314 191 191 191 314 314 94 94 94 94 94 314 314 314 314 314 191 191 191 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314,0,2005-09-01-06.48.50.742671,2005-09-01 06:49:21.568967
8131,94 94 94 94 94 94 314 314 314 314 314 314 191 314 191 314 314 314 314 314 314 191 314 314 314 314 314 191 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314,0,2005-09-01-06.58.46.922770,2005-09-01 06:58:50.204098
8132,94 70 94 94 94 94 94 94 70 94 94 94 314 70 314 314 314 314 314 314 314 314 314 314 70 314 191 191 314 191 314 314 314 314 314 70 314 191 314 314 314 314 314 70 314 314 314 314 314 314 99 314 314 191 314 314 191 99 314 314 314 314 99 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 191 314 314 314 314 314 314 191 314 314 191,0,2005-09-01-07.31.14.701323,2005-09-01 07:31:19.106240
